food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf,is_featured
#REF!,23042,Sweet BBQ Bacon Artisan Grilled Chicken on Sesame Seed Bun,1 Order,600,23,7,0,135,1850,52,3,14,46,0,0,0,0,0,0,0,0
#REF!,23042,Sweet BBQ Bacon Buttermilk Crispy Chicken on Artisan Roll,1 Order,830,39,11,0.5,105,1760,80,5,18,42,0,0,0,0,0,0,0,0
#REF!,23042,Sweet BBQ Bacon Burger on Artisan Roll,1 Order,770,40,16,1.5,120,1340,62,3,18,42,0,0,0,0,0,0,0,0
#REF!,23042,Sweet BBQ Bacon Artisan Grilled Chicken on Artisan Roll,1 Order,670,25,9,0.5,140,1870,61,3,18,50,0,0,0,0,0,0,0,0
#REF!,23042,Pico Guacamole Burger on Artisan Roll,1 Order,660,36,14,1.5,100,950,51,4,11,34,0,0,0,0,0,0,0,0
#REF!,23042,Pico Guacamole Burger on Sesame Seed Bun,1 Order,580,33,12,1.5,95,920,41,4,7,29,0,0,0,0,0,0,0,0
#REF!,23042,Sweet BBQ Bacon Buttermilk Crispy Chicken on Sesame Seed Bun,1 Order,760,36,9,0,95,1740,71,5,14,37,0,0,0,0,0,0,0,0
#REF!,23042,Pico Guacamole Artisan Grilled Chicken on Sesame Seed Bun,1 Order,470,18,5,0,115,1450,40,3,7,38,0,0,0,0,0,0,0,0
#REF!,23042,Pico Guacamole Artisan Grilled Chicken on Artisan Roll,1 Order,550,20,7,0,120,1340,50,4,11,42,0,0,0,0,0,0,0,0
#REF!,23042,Signature Sriracha Buttermilk Crispy Chicken on Artisan Roll,1 Order,760,36,9,0.5,85,1430,75,5,13,34,0,0,0,0,0,0,0,0
#REF!,23042,Pico Guacamole Buttermilk Crispy Chicken on Sesame Seed Bun,1 Order,630,32,7,0,80,1340,59,5,7,29,0,0,0,0,0,0,0,0
#REF!,23042,Signature Sriracha Artisan Grilled Chicken on Artisan Roll,1 Order,590,22,7,0,125,1390,56,3,14,43,0,0,0,0,0,0,0,0
#REF!,23042,Pico Guacamole Buttermilk Crispy Chicken on Artisan Roll,1 Order,720,34,9,0,85,1380,69,6,11,33,0,0,0,0,0,0,0,0
#REF!,23042,Sweet BBQ Bacon Buttermilk Crispy Chicken on Texas Toast,1 Order,800,36,9,0,95,1850,80,5,17,39,0,0,0,0,0,0,0,0
